observation_date,DAAA
1990-01-01,9.19
1990-04-01,9.40
1990-07-01,9.40
1990-10-01,9.31
1991-01-01,8.94
1991-04-01,8.90
1991-07-01,8.79
1991-10-01,8.45
1992-01-01,8.28
1992-04-01,8.28
1992-07-01,7.98
1992-10-01,8.02
1993-01-01,7.73
1993-04-01,7.40
1993-07-01,6.89
1993-10-01,6.84
1994-01-01,7.17
1994-04-01,7.95
1994-07-01,8.17
1994-10-01,8.57
1995-01-01,8.27
1995-04-01,7.64
1995-07-01,7.44
1995-10-01,6.99
1996-01-01,7.04
1996-04-01,7.61
1996-07-01,7.59
1996-10-01,7.24
1997-01-01,7.43
1997-04-01,7.58
1997-07-01,7.17
1997-10-01,6.88
1998-01-01,6.67
1998-04-01,6.64
1998-07-01,6.49
1998-10-01,6.33
1999-01-01,6.43
1999-04-01,6.93
1999-07-01,7.33
1999-10-01,7.49
2000-01-01,7.71
2000-04-01,7.77
2000-07-01,7.60
2000-10-01,7.41
2001-01-01,7.07
2001-04-01,7.22
2001-07-01,7.10
2001-10-01,6.93
2002-01-01,6.62
2002-04-01,6.72
2002-07-01,6.36
2002-10-01,6.28
2003-01-01,6.01
2003-04-01,5.31
2003-07-01,5.69
2003-10-01,5.66
2004-01-01,5.45
2004-04-01,5.93
2004-07-01,5.64
2004-10-01,5.48
2005-01-01,5.32
2005-04-01,5.14
2005-07-01,5.09
2005-10-01,5.38
2006-01-01,5.40
2006-04-01,5.90
2006-07-01,5.68
2006-10-01,5.39
2007-01-01,5.36
2007-04-01,5.58
2007-07-01,5.75
2007-10-01,5.53
2008-01-01,5.45
2008-04-01,5.60
2008-07-01,5.65
2008-10-01,5.80
2009-01-01,5.28
2009-04-01,5.51
2009-07-01,5.27
2009-10-01,5.20
2010-01-01,5.29
2010-04-01,5.05
2010-07-01,4.58
2010-10-01,4.86
2011-01-01,5.13
2011-04-01,5.03
2011-07-01,4.45
2011-10-01,3.93
2012-01-01,3.90
2012-04-01,3.80
2012-07-01,3.45
2012-10-01,3.54
2013-01-01,3.87
2013-04-01,3.96
2013-07-01,4.50
2013-10-01,4.59
2014-01-01,4.44
2014-04-01,4.22
2014-07-01,4.12
2014-10-01,3.87
2015-01-01,3.57
2015-04-01,3.90
2015-07-01,4.09
2015-10-01,3.99
2016-01-01,3.92
2016-04-01,3.59
2016-07-01,3.34
2016-10-01,3.81
2017-01-01,3.96
2017-04-01,3.80
2017-07-01,3.65
2017-10-01,3.56
2018-01-01,3.74
2018-04-01,3.93
2018-07-01,3.91
2018-10-01,4.13
2019-01-01,3.83
2019-04-01,3.60
2019-07-01,3.10
2019-10-01,3.02
2020-01-01,2.92
