observation_date,DBAA
1990-01-01,10.10
1990-04-01,10.31
1990-07-01,10.41
1990-10-01,10.61
1991-01-01,10.21
1991-04-01,9.92
1991-07-01,9.69
1991-10-01,9.40
1992-01-01,9.20
1992-04-01,9.13
1992-07-01,8.70
1992-10-01,8.87
1993-01-01,8.39
1993-04-01,8.14
1993-07-01,7.62
1993-10-01,7.55
1994-01-01,7.86
1994-04-01,8.60
1994-07-01,8.84
1994-10-01,9.21
1995-01-01,8.87
1995-04-01,8.22
1995-07-01,8.06
1995-10-01,7.65
1996-01-01,7.71
1996-04-01,8.29
1996-07-01,8.29
1996-10-01,7.92
1997-01-01,8.08
1997-04-01,8.19
1997-07-01,7.76
1997-10-01,7.44
1998-01-01,7.26
1998-04-01,7.25
1998-07-01,7.13
1998-10-01,7.25
1999-01-01,7.41
1999-04-01,7.74
1999-07-01,8.10
1999-10-01,8.24
2000-01-01,8.33
2000-04-01,8.60
2000-07-01,8.31
2000-10-01,8.22
2001-01-01,7.88
2001-04-01,8.04
2001-07-01,7.94
2001-10-01,7.92
2002-01-01,7.96
2002-04-01,8.03
2002-07-01,7.63
2002-10-01,7.60
2003-01-01,7.12
2003-04-01,6.47
2003-07-01,6.80
2003-10-01,6.66
2004-01-01,6.27
2004-04-01,6.66
2004-07-01,6.45
2004-10-01,6.19
2005-01-01,5.97
2005-04-01,5.97
2005-07-01,5.98
2005-10-01,6.34
2006-01-01,6.31
2006-04-01,6.74
2006-07-01,6.59
2006-10-01,6.28
2007-01-01,6.30
2007-04-01,6.49
2007-07-01,6.63
2007-10-01,6.51
2008-01-01,6.75
2008-04-01,6.99
2008-07-01,7.21
2008-10-01,8.82
2009-01-01,8.22
2009-04-01,7.97
2009-07-01,6.67
2009-10-01,6.33
2010-01-01,6.29
2010-04-01,6.18
2010-07-01,5.78
2010-10-01,5.92
2011-01-01,6.09
2011-04-01,5.85
2011-07-01,5.46
2011-10-01,5.25
2012-01-01,5.20
2012-04-01,5.09
2012-07-01,4.88
2012-10-01,4.57
2013-01-01,4.81
2013-04-01,4.82
2013-07-01,5.40
2013-10-01,5.36
2014-01-01,5.12
2014-04-01,4.82
2014-07-01,4.74
2014-10-01,4.73
2015-01-01,4.50
2015-04-01,4.83
2015-07-01,5.24
2015-10-01,5.42
2016-01-01,5.30
2016-04-01,4.66
2016-07-01,4.26
2016-10-01,4.64
2017-01-01,4.66
2017-04-01,4.49
2017-07-01,4.33
2017-10-01,4.27
2018-01-01,4.47
2018-04-01,4.78
2018-07-01,4.81
2018-10-01,5.14
2019-01-01,4.97
2019-04-01,4.60
2019-07-01,4.03
2019-10-01,3.91
2020-01-01,3.91
